condition,rank,signal,experiment,modality,id,pid
random,1,has_information,3,visual,3140,0
VAE,2,has_information,3,visual,2964,0
contrastive,3,has_information,3,visual,20,0
contrastive+autoencoder,4,has_information,3,visual,962,0
random,0,has_information,4,visual,778,0
VAE,1,has_information,4,visual,4728,0
contrastive+autoencoder,2,has_information,4,visual,2416,0
autoencoder,3,has_information,4,visual,5802,0
contrastive,4,has_information,4,visual,4663,0
contrastive,0,has_information,5,visual,1129,0
contrastive+autoencoder,1,has_information,5,visual,3358,0
random,2,has_information,5,visual,2860,0
autoencoder,3,has_information,5,visual,3053,0
VAE,4,has_information,5,visual,3203,0
random,0,has_information,6,visual,5516,0
VAE,1,has_information,6,visual,3580,0
contrastive+autoencoder,2,has_information,6,visual,1395,0
contrastive,3,has_information,6,visual,2394,0
autoencoder,4,has_information,6,visual,3696,0
autoencoder,0,has_information,7,visual,4146,0
VAE,1,has_information,7,visual,756,0
contrastive,2,has_information,7,visual,1321,0
contrastive+autoencoder,3,has_information,7,visual,1785,0
random,4,has_information,7,visual,3088,0
random,0,has_information,8,visual,2518,0
autoencoder,1,has_information,8,visual,1696,0
contrastive+autoencoder,2,has_information,8,visual,2756,0
contrastive,3,has_information,8,visual,5012,0
VAE,4,has_information,8,visual,2526,0
random,0,has_information,9,visual,5589,0
VAE,1,has_information,9,visual,4560,0
contrastive,2,has_information,9,visual,4447,0
autoencoder,3,has_information,9,visual,4523,0
contrastive+autoencoder,4,has_information,9,visual,398,0
autoencoder,0,has_information,10,auditory,81,0
contrastive+autoencoder,1,has_information,10,auditory,121,0
random,2,has_information,10,auditory,515,0
contrastive,3,has_information,10,auditory,300,0
VAE,4,has_information,10,auditory,194,0
contrastive+autoencoder,0,has_information,11,auditory,6,0
contrastive,1,has_information,11,auditory,118,0
autoencoder,2,has_information,11,auditory,626,0
random,3,has_information,11,auditory,448,0
VAE,4,has_information,11,auditory,404,0
contrastive,0,has_information,12,auditory,441,0
autoencoder,1,has_information,12,auditory,166,0
VAE,2,has_information,12,auditory,463,0
random,3,has_information,12,auditory,583,0
contrastive+autoencoder,4,has_information,12,auditory,231,0
contrastive,0,has_information,13,auditory,61,0
contrastive+autoencoder,1,has_information,13,auditory,490,0
random,2,has_information,13,auditory,721,0
VAE,3,has_information,13,auditory,232,0
autoencoder,4,has_information,13,auditory,213,0
VAE,0,has_information,14,auditory,613,0
autoencoder,1,has_information,14,auditory,35,0
contrastive,2,has_information,14,auditory,134,0
random,3,has_information,14,auditory,153,0
contrastive+autoencoder,4,has_information,14,auditory,428,0
contrastive+autoencoder,0,has_information,15,auditory,257,0
contrastive,1,has_information,15,auditory,23,0
random,2,has_information,15,auditory,708,0
autoencoder,3,has_information,15,auditory,377,0
VAE,4,has_information,15,auditory,200,0
random,0,has_information,16,auditory,320,0
contrastive+autoencoder,1,has_information,16,auditory,686,0
VAE,2,has_information,16,auditory,440,0
contrastive,3,has_information,16,auditory,7,0
autoencoder,4,has_information,16,auditory,348,0
contrastive+autoencoder,0,has_information,17,auditory,826,0
contrastive,1,has_information,17,auditory,448,0
VAE,2,has_information,17,auditory,301,0
autoencoder,3,has_information,17,auditory,802,0
random,4,has_information,17,auditory,308,0
contrastive+autoencoder,0,has_information,18,auditory,608,0
contrastive,1,has_information,18,auditory,774,0
VAE,2,has_information,18,auditory,724,0
random,3,has_information,18,auditory,440,0
autoencoder,4,has_information,18,auditory,228,0
autoencoder,0,has_information,19,auditory,285,0
contrastive+autoencoder,1,has_information,19,auditory,782,0
random,2,has_information,19,auditory,301,0
contrastive,3,has_information,19,auditory,748,0
VAE,4,has_information,19,auditory,271,0
random,0,has_information,20,kinetic,815,0
VAE,1,has_information,20,kinetic,816,0
contrastive+autoencoder,2,has_information,20,kinetic,818,0
autoencoder,3,has_information,20,kinetic,819,0
contrastive,4,has_information,20,kinetic,107,0
contrastive,0,has_information,21,kinetic,1272,0
autoencoder,1,has_information,21,kinetic,1349,0
VAE,2,has_information,21,kinetic,1334,0
random,3,has_information,21,kinetic,1326,0
contrastive+autoencoder,4,has_information,21,kinetic,1346,0
random,0,has_information,22,kinetic,1659,0
autoencoder,1,has_information,22,kinetic,1669,0
contrastive+autoencoder,2,has_information,22,kinetic,1668,0
VAE,3,has_information,22,kinetic,1654,0
contrastive,4,has_information,22,kinetic,1909,0
random,0,has_information,23,kinetic,2017,0
contrastive+autoencoder,1,has_information,23,kinetic,2018,0
VAE,2,has_information,23,kinetic,2016,0
autoencoder,3,has_information,23,kinetic,2015,0
contrastive,4,has_information,23,kinetic,391,0
random,0,has_information,24,kinetic,1219,0
contrastive+autoencoder,1,has_information,24,kinetic,1217,0
autoencoder,2,has_information,24,kinetic,1206,0
VAE,3,has_information,24,kinetic,1215,0
contrastive,4,has_information,24,kinetic,591,0
VAE,0,has_information,25,kinetic,1947,0
autoencoder,1,has_information,25,kinetic,1937,0
random,2,has_information,25,kinetic,437,0
contrastive+autoencoder,3,has_information,25,kinetic,1675,0
contrastive,4,has_information,25,kinetic,1939,0
VAE,0,has_information,26,kinetic,969,0
autoencoder,1,has_information,26,kinetic,965,0
random,2,has_information,26,kinetic,967,0
contrastive+autoencoder,3,has_information,26,kinetic,968,0
contrastive,4,has_information,26,kinetic,1340,0
contrastive,0,has_information,27,kinetic,1065,0
contrastive+autoencoder,1,has_information,27,kinetic,1066,0
autoencoder,2,has_information,27,kinetic,1019,0
random,3,has_information,27,kinetic,1067,0
VAE,4,has_information,27,kinetic,1068,0
contrastive+autoencoder,0,has_information,28,kinetic,1065,0
VAE,1,has_information,28,kinetic,940,0
autoencoder,2,has_information,28,kinetic,1069,0
random,3,has_information,28,kinetic,1068,0
contrastive,4,has_information,28,kinetic,1579,0
autoencoder,0,has_information,29,kinetic,1689,0
VAE,1,has_information,29,kinetic,1679,0
contrastive+autoencoder,2,has_information,29,kinetic,1677,0
contrastive,3,has_information,29,kinetic,563,0
random,4,has_information,29,kinetic,1685,0
autoencoder,0,searching,0,visual,2815,1
VAE,1,searching,0,visual,5483,1
contrastive,2,searching,0,visual,3277,1
contrastive+autoencoder,3,searching,0,visual,2791,1
random,4,searching,0,visual,4866,1
contrastive+autoencoder,0,searching,1,visual,5176,1
autoencoder,1,searching,1,visual,4132,1
contrastive,2,searching,1,visual,1352,1
VAE,3,searching,1,visual,5457,1
random,4,searching,1,visual,584,1
random,0,searching,2,visual,778,1
VAE,1,searching,2,visual,4728,1
contrastive+autoencoder,2,searching,2,visual,5314,1
contrastive,3,searching,2,visual,4663,1
autoencoder,4,searching,2,visual,5802,1
random,0,searching,3,visual,4520,1
autoencoder,1,searching,3,visual,4525,1
contrastive,2,searching,3,visual,4617,1
VAE,3,searching,3,visual,4924,1
contrastive+autoencoder,4,searching,3,visual,4650,1
contrastive,0,searching,4,visual,499,1
autoencoder,1,searching,4,visual,170,1
contrastive+autoencoder,2,searching,4,visual,5786,1
random,3,searching,4,visual,2604,1
VAE,4,searching,4,visual,4937,1
random,0,searching,5,visual,1171,1
contrastive,1,searching,5,visual,1129,1
VAE,2,searching,5,visual,3455,1
autoencoder,3,searching,5,visual,2471,1
contrastive+autoencoder,4,searching,5,visual,998,1
contrastive,0,searching,6,visual,2580,1
contrastive+autoencoder,1,searching,6,visual,1790,1
autoencoder,2,searching,6,visual,4603,1
random,3,searching,6,visual,5441,1
VAE,4,searching,6,visual,1675,1
contrastive,0,searching,7,visual,11,1
VAE,1,searching,7,visual,2556,1
contrastive+autoencoder,2,searching,7,visual,3656,1
random,3,searching,7,visual,2805,1
autoencoder,4,searching,7,visual,1438,1
contrastive+autoencoder,0,searching,8,visual,2127,1
contrastive,1,searching,8,visual,378,1
random,2,searching,8,visual,717,1
autoencoder,3,searching,8,visual,348,1
VAE,4,searching,8,visual,170,1
random,0,searching,9,visual,2361,1
contrastive,1,searching,9,visual,2289,1
VAE,2,searching,9,visual,2896,1
autoencoder,3,searching,9,visual,1362,1
contrastive+autoencoder,4,searching,9,visual,5807,1
random,0,searching,10,auditory,308,1
contrastive+autoencoder,1,searching,10,auditory,209,1
contrastive,2,searching,10,auditory,522,1
VAE,3,searching,10,auditory,702,1
autoencoder,4,searching,10,auditory,291,1
random,0,searching,11,auditory,827,1
contrastive+autoencoder,1,searching,11,auditory,379,1
contrastive,2,searching,11,auditory,324,1
autoencoder,3,searching,11,auditory,107,1
VAE,4,searching,11,auditory,733,1
contrastive+autoencoder,0,searching,12,auditory,613,1
contrastive,1,searching,12,auditory,494,1
autoencoder,2,searching,12,auditory,650,1
VAE,3,searching,12,auditory,682,1
random,4,searching,12,auditory,328,1
VAE,0,searching,13,auditory,717,1
autoencoder,1,searching,13,auditory,99,1
contrastive+autoencoder,2,searching,13,auditory,97,1
contrastive,3,searching,13,auditory,292,1
random,4,searching,13,auditory,225,1
VAE,0,searching,14,auditory,44,1
random,1,searching,14,auditory,552,1
autoencoder,2,searching,14,auditory,63,1
contrastive+autoencoder,3,searching,14,auditory,48,1
contrastive,4,searching,14,auditory,172,1
contrastive,0,searching,15,auditory,470,1
VAE,1,searching,15,auditory,426,1
contrastive+autoencoder,2,searching,15,auditory,482,1
autoencoder,3,searching,15,auditory,742,1
random,4,searching,15,auditory,660,1
contrastive,0,searching,16,auditory,397,1
contrastive+autoencoder,1,searching,16,auditory,274,1
random,2,searching,16,auditory,280,1
autoencoder,3,searching,16,auditory,736,1
VAE,4,searching,16,auditory,842,1
contrastive+autoencoder,0,searching,17,auditory,669,1
VAE,1,searching,17,auditory,102,1
contrastive,2,searching,17,auditory,414,1
autoencoder,3,searching,17,auditory,88,1
random,4,searching,17,auditory,128,1
VAE,0,searching,18,auditory,182,1
random,1,searching,18,auditory,385,1
contrastive,2,searching,18,auditory,274,1
autoencoder,3,searching,18,auditory,228,1
contrastive+autoencoder,4,searching,18,auditory,192,1
autoencoder,0,searching,19,auditory,176,1
contrastive,1,searching,19,auditory,272,1
VAE,2,searching,19,auditory,24,1
random,3,searching,19,auditory,551,1
contrastive+autoencoder,4,searching,19,auditory,597,1
VAE,0,searching,20,kinetic,1382,1
contrastive,1,searching,20,kinetic,1835,1
autoencoder,2,searching,20,kinetic,1444,1
random,3,searching,20,kinetic,1442,1
contrastive+autoencoder,4,searching,20,kinetic,1390,1
autoencoder,0,searching,21,kinetic,1560,1
contrastive,1,searching,21,kinetic,1933,1
VAE,2,searching,21,kinetic,1570,1
contrastive+autoencoder,3,searching,21,kinetic,1555,1
random,4,searching,21,kinetic,1571,1
contrastive+autoencoder,0,searching,22,kinetic,1508,1
autoencoder,1,searching,22,kinetic,1503,1
VAE,2,searching,22,kinetic,1512,1
random,3,searching,22,kinetic,1502,1
contrastive,4,searching,22,kinetic,1598,1
random,0,searching,23,kinetic,470,1
contrastive+autoencoder,1,searching,23,kinetic,455,1
autoencoder,2,searching,23,kinetic,471,1
VAE,3,searching,23,kinetic,473,1
contrastive,4,searching,23,kinetic,451,1
random,0,searching,24,kinetic,360,1
contrastive,1,searching,24,kinetic,1659,1
contrastive+autoencoder,2,searching,24,kinetic,370,1
autoencoder,3,searching,24,kinetic,358,1
VAE,4,searching,24,kinetic,355,1
contrastive,0,searching,25,kinetic,1439,1
autoencoder,1,searching,25,kinetic,1378,1
VAE,2,searching,25,kinetic,1397,1
random,3,searching,25,kinetic,1377,1
contrastive+autoencoder,4,searching,25,kinetic,1375,1
random,0,searching,26,kinetic,1506,1
contrastive,1,searching,26,kinetic,1595,1
contrastive+autoencoder,2,searching,26,kinetic,1509,1
autoencoder,3,searching,26,kinetic,1521,1
VAE,4,searching,26,kinetic,1511,1
VAE,0,searching,27,kinetic,895,1
random,1,searching,27,kinetic,879,1
contrastive+autoencoder,2,searching,27,kinetic,896,1
autoencoder,3,searching,27,kinetic,881,1
contrastive,4,searching,27,kinetic,2026,1
contrastive,0,searching,28,kinetic,1037,1
random,1,searching,28,kinetic,1447,1
contrastive+autoencoder,2,searching,28,kinetic,1431,1
autoencoder,3,searching,28,kinetic,1428,1
VAE,4,searching,28,kinetic,1436,1
VAE,0,searching,29,kinetic,1555,1
contrastive+autoencoder,1,searching,29,kinetic,1570,1
random,2,searching,29,kinetic,1561,1
autoencoder,3,searching,29,kinetic,1550,1
contrastive,4,searching,29,kinetic,353,1
contrastive+autoencoder,0,has_information,0,visual,1395,3
autoencoder,1,has_information,0,visual,3696,3
VAE,2,has_information,0,visual,3580,3
random,3,has_information,0,visual,5516,3
contrastive,4,has_information,0,visual,2394,3
autoencoder,0,has_information,1,visual,4146,3
VAE,1,has_information,1,visual,756,3
contrastive,2,has_information,1,visual,1321,3
contrastive+autoencoder,3,has_information,1,visual,1785,3
random,4,has_information,1,visual,3088,3
contrastive,0,has_information,2,visual,5012,3
contrastive+autoencoder,1,has_information,2,visual,2756,3
random,2,has_information,2,visual,2518,3
VAE,3,has_information,2,visual,2526,3
autoencoder,4,has_information,2,visual,1696,3
autoencoder,0,has_information,3,visual,3619,3
contrastive+autoencoder,1,has_information,3,visual,1138,3
random,2,has_information,3,visual,5332,3
contrastive,3,has_information,3,visual,4748,3
VAE,4,has_information,3,visual,2278,3
random,0,has_information,4,visual,3015,3
autoencoder,1,has_information,4,visual,2630,3
contrastive,2,has_information,4,visual,2916,3
contrastive+autoencoder,3,has_information,4,visual,311,3
VAE,4,has_information,4,visual,187,3
random,0,has_information,5,visual,5444,3
contrastive+autoencoder,1,has_information,5,visual,3865,3
autoencoder,2,has_information,5,visual,958,3
VAE,3,has_information,5,visual,856,3
contrastive,4,has_information,5,visual,5729,3
random,0,has_information,6,visual,441,3
autoencoder,1,has_information,6,visual,267,3
contrastive+autoencoder,2,has_information,6,visual,20,3
contrastive,3,has_information,6,visual,106,3
VAE,4,has_information,6,visual,4448,3
contrastive,0,has_information,7,auditory,61,3
contrastive+autoencoder,1,has_information,7,auditory,490,3
VAE,2,has_information,7,auditory,232,3
random,3,has_information,7,auditory,721,3
autoencoder,4,has_information,7,auditory,213,3
contrastive+autoencoder,0,has_information,8,auditory,177,3
VAE,1,has_information,8,auditory,728,3
random,2,has_information,8,auditory,789,3
autoencoder,3,has_information,8,auditory,803,3
contrastive,4,has_information,8,auditory,507,3
contrastive,0,has_information,9,auditory,118,3
contrastive+autoencoder,1,has_information,9,auditory,6,3
random,2,has_information,9,auditory,448,3
VAE,3,has_information,9,auditory,404,3
autoencoder,4,has_information,9,auditory,626,3
contrastive,0,has_information,10,auditory,173,3
contrastive+autoencoder,1,has_information,10,auditory,301,3
random,2,has_information,10,auditory,782,3
autoencoder,3,has_information,10,auditory,308,3
VAE,4,has_information,10,auditory,513,3
contrastive+autoencoder,0,has_information,11,auditory,238,3
VAE,1,has_information,11,auditory,859,3
random,2,has_information,11,auditory,245,3
contrastive,3,has_information,11,auditory,785,3
autoencoder,4,has_information,11,auditory,602,3
contrastive+autoencoder,0,has_information,12,auditory,491,3
random,1,has_information,12,auditory,771,3
VAE,2,has_information,12,auditory,228,3
autoencoder,3,has_information,12,auditory,581,3
contrastive,4,has_information,12,auditory,330,3
random,0,has_information,13,auditory,560,3
autoencoder,1,has_information,13,auditory,485,3
contrastive+autoencoder,2,has_information,13,auditory,242,3
contrastive,3,has_information,13,auditory,6,3
VAE,4,has_information,13,auditory,414,3
random,0,has_information,14,kinetic,42,3
contrastive+autoencoder,1,has_information,14,kinetic,30,3
VAE,2,has_information,14,kinetic,40,3
autoencoder,3,has_information,14,kinetic,31,3
contrastive,4,has_information,14,kinetic,1793,3
contrastive+autoencoder,0,has_information,15,kinetic,216,3
contrastive,1,has_information,15,kinetic,1084,3
autoencoder,2,has_information,15,kinetic,205,3
random,3,has_information,15,kinetic,219,3
VAE,4,has_information,15,kinetic,217,3
contrastive,0,has_information,16,kinetic,1957,3
contrastive+autoencoder,1,has_information,16,kinetic,1344,3
autoencoder,2,has_information,16,kinetic,1341,3
VAE,3,has_information,16,kinetic,1342,3
random,4,has_information,16,kinetic,1340,3
contrastive+autoencoder,0,has_information,17,kinetic,1675,3
contrastive,1,has_information,17,kinetic,1939,3
autoencoder,2,has_information,17,kinetic,1937,3
random,3,has_information,17,kinetic,437,3
VAE,4,has_information,17,kinetic,1947,3
VAE,0,has_information,18,kinetic,1529,3
random,1,has_information,18,kinetic,1534,3
autoencoder,2,has_information,18,kinetic,1539,3
contrastive+autoencoder,3,has_information,18,kinetic,1542,3
contrastive,4,has_information,18,kinetic,1715,3
random,0,has_information,19,kinetic,2097,3
contrastive+autoencoder,1,has_information,19,kinetic,2098,3
VAE,2,has_information,19,kinetic,2078,3
contrastive,3,has_information,19,kinetic,846,3
autoencoder,4,has_information,19,kinetic,2079,3
contrastive+autoencoder,0,has_information,20,kinetic,2059,3
autoencoder,1,has_information,20,kinetic,1893,3
random,2,has_information,20,kinetic,1894,3
VAE,3,has_information,20,kinetic,1890,3
contrastive,4,has_information,20,kinetic,766,3
VAE,0,idle,0,visual,339,4
contrastive,1,idle,0,visual,4942,4
autoencoder,2,idle,0,visual,4498,4
random,3,idle,0,visual,4636,4
contrastive+autoencoder,4,idle,0,visual,5783,4
random,0,idle,1,visual,5511,4
VAE,1,idle,1,visual,766,4
contrastive+autoencoder,2,idle,1,visual,3757,4
autoencoder,3,idle,1,visual,5474,4
contrastive,4,idle,1,visual,4404,4
contrastive,0,idle,2,visual,341,4
VAE,1,idle,2,visual,3651,4
autoencoder,2,idle,2,visual,4014,4
random,3,idle,2,visual,3413,4
contrastive+autoencoder,4,idle,2,visual,5149,4
contrastive,0,idle,3,kinetic,498,4
random,1,idle,3,kinetic,2122,4
autoencoder,2,idle,3,kinetic,2114,4
contrastive+autoencoder,3,idle,3,kinetic,2113,4
VAE,4,idle,3,kinetic,2108,4
autoencoder,0,idle,4,visual,5573,4
contrastive,1,idle,4,visual,3971,4
random,2,idle,4,visual,2378,4
contrastive+autoencoder,3,idle,4,visual,4255,4
VAE,4,idle,4,visual,2385,4
VAE,0,idle,5,auditory,245,4
autoencoder,1,idle,5,auditory,27,4
contrastive,2,idle,5,auditory,326,4
contrastive+autoencoder,3,idle,5,auditory,551,4
random,4,idle,5,auditory,750,4
random,0,idle,6,visual,2931,4
autoencoder,1,idle,6,visual,4992,4
VAE,2,idle,6,visual,3815,4
contrastive,3,idle,6,visual,2384,4
contrastive+autoencoder,4,idle,6,visual,1312,4
random,0,idle,7,auditory,605,4
contrastive+autoencoder,1,idle,7,auditory,148,4
VAE,2,idle,7,auditory,415,4
autoencoder,3,idle,7,auditory,454,4
contrastive,4,idle,7,auditory,42,4
VAE,0,idle,8,auditory,845,4
contrastive,1,idle,8,auditory,21,4
random,2,idle,8,auditory,314,4
autoencoder,3,idle,8,auditory,744,4
contrastive+autoencoder,4,idle,8,auditory,677,4
random,0,idle,9,kinetic,749,4
autoencoder,1,idle,9,kinetic,746,4
VAE,2,idle,9,kinetic,729,4
contrastive,3,idle,9,kinetic,1725,4
contrastive+autoencoder,4,idle,9,kinetic,736,4
VAE,0,idle,10,auditory,591,4
autoencoder,1,idle,10,auditory,519,4
contrastive,2,idle,10,auditory,62,4
contrastive+autoencoder,3,idle,10,auditory,364,4
random,4,idle,10,auditory,416,4
random,0,idle,11,visual,2969,4
VAE,1,idle,11,visual,5897,4
autoencoder,2,idle,11,visual,5879,4
contrastive+autoencoder,3,idle,11,visual,4440,4
contrastive,4,idle,11,visual,4325,4
VAE,0,idle,12,kinetic,2070,4
contrastive+autoencoder,1,idle,12,kinetic,2071,4
autoencoder,2,idle,12,kinetic,2061,4
contrastive,3,idle,12,kinetic,435,4
random,4,idle,12,kinetic,2064,4
autoencoder,0,idle,13,kinetic,802,4
contrastive,1,idle,13,kinetic,609,4
VAE,2,idle,13,kinetic,806,4
random,3,idle,13,kinetic,800,4
contrastive+autoencoder,4,idle,13,kinetic,801,4
random,0,idle,14,kinetic,1935,4
VAE,1,idle,14,kinetic,1946,4
contrastive+autoencoder,2,idle,14,kinetic,1926,4
autoencoder,3,idle,14,kinetic,1931,4
contrastive,4,idle,14,kinetic,2011,4
contrastive+autoencoder,0,idle,15,auditory,316,4
autoencoder,1,idle,15,auditory,308,4
VAE,2,idle,15,auditory,762,4
random,3,idle,15,auditory,50,4
contrastive,4,idle,15,auditory,55,4
contrastive,0,idle,16,auditory,324,4
VAE,1,idle,16,auditory,733,4
autoencoder,2,idle,16,auditory,107,4
random,3,idle,16,auditory,827,4
contrastive+autoencoder,4,idle,16,auditory,379,4
contrastive,0,idle,17,kinetic,436,4
autoencoder,1,idle,17,kinetic,396,4
VAE,2,idle,17,kinetic,395,4
